"149859","1350 I St NW Ste 510,  Washington,  DC,  20005-3355","Match","Exact","1350 I ST NW, WASHINGTON, DC, 20005","-77.030815,38.901325","76225777","L"
"149853","1090 Vermont Ave NW Ste 1200,  Washington,  DC,  20005-4954","Match","Exact","1090 VERMONT AVE NW, WASHINGTON, DC, 20005","-77.03319,38.903564","76225764","L"
"149975","1825 I St NW,  Washington,  DC,  20006-5403","Match","Exact","1825 I ST NW, WASHINGTON, DC, 20006","-77.0422,38.90134","76225644","R"
"149854","1090 Vermont Ave NW Ste 1200,  Washington,  DC,  20005-4954","Match","Exact","1090 VERMONT AVE NW, WASHINGTON, DC, 20005","-77.03319,38.903564","76225764","L"
"149974","1875 K Street NW Suite 600,  Washington,  DC,  20006-1251","Match","Non_Exact","1875 K ST NW, WASHINGTON, DC, 20001","-77.04295,38.90253","76225394","R"
"149855","1501 K Street NWSuite 600,  Washington,  DC,  20005","No_Match"
"149977","1701 Pennsylvania Ave NW,  Washington,  DC,  20006-5805","Match","Exact","1701 PENNSYLVANIA AVE NW, WASHINGTON, DC, 20006","-77.039635,38.898884","76225654","R"
"149856","725 12th Street NW,  Washington,  DC,  20005-3901","Match","Exact","725 12TH ST NW, WASHINGTON, DC, 20005","-77.028076,38.898743","76226159","R"
"149976","Po Box 261Ben Franklin Station,  Washington,  DC,  20044-0261","No_Match"
"149871","1875 Pennsylvania Avenue N West,  Washington,  DC,  20006","Match","Non_Exact","1875 PENNSYLVANIA AVE NW, WASHINGTON, DC, 20006","-77.0433,38.90015","76240492","R"
"149993","1601 K Street NW,  Washinton,  DC,  20006","Match","Non_Exact","1601 K ST NW, WASHINGTON, DC, 20001","-77.0367,38.90253","76225668","R"
"149872","1501 K St NW,  Washington,  DC,  20005-1401","Match","Non_Exact","1501 K ST NW, WASHINGTON, DC, 20001","-77.03474,38.90253","76225749","R"
"149992","1875 K St NW Ste 800,  Washington,  DC,  20006-1253","Match","Non_Exact","1875 K ST NW, WASHINGTON, DC, 20001","-77.04295,38.90253","76225394","R"
"149873","700 Thirteenth Street N.W.,  Washington,  DC,  20005","Match","Non_Exact","700 13TH ST NW, WASHINGTON, DC, 20005","-77.029625,38.898434","76226147","L"
"149995","1801 K Street N West Suite 411,  Washington,  DC,  20006","No_Match"
"149874","1325 G St NW Ste 800,  Washington,  DC,  20005-3104","Match","Exact","1325 G ST NW, WASHINGTON, DC, 20005","-77.03029,38.89832","76225885","R"
"149994","1717 K Street Northwest,  Washington,  DC,  20006-5343","Match","Exact","1717 K ST NW, WASHINGTON, DC, 20006","-77.03963,38.90253","76225662","R"
"149991","1101 Connecticut Avenue N West,  Washington,  DC,  20036","Match","Non_Exact","1101 CONNECTICUT AVE NW, WASHINGTON, DC, 20036","-77.040054,38.903824","76225638","R"
"149870","1501 M St NW # 7,  Washington,  DC,  20005-1700","Match","Exact","1501 M ST NW, WASHINGTON, DC, 20005","-77.03473,38.90565","76225741","R"
"149990","2099 Pennsylvania Ave NW,  Washington,  DC,  20006-6800","Match","Exact","2099 PENNSYLVANIA AVE NW, WASHINGTON, DC, 20006","-77.04651,38.901276","76225370","R"
"149868","600 13 Th St NW,  Washington,  DC,  20005-3005","Match","Non_Exact","600 13TH ST NW, WASHINGTON, DC, 20005","-77.029625,38.89742","76226300","L"
"149869","1440 New York Avenue N West,  Washington,  DC,  20005","No_Match"
"149989","1999 K St NW,  Washington,  DC,  20006-1118","No_Match"
"149864","1401 K Street,  Washington,  DC,  20005","Match","Non_Exact","1401 K ST NW, WASHINGTON, DC, 20005","-77.03371,38.902523","76225751","R"
"149986","1909 K St NW Ste 1000,  Washington,  DC,  20006-1134","No_Match"
"149866","1501 K St NW,  Washington,  DC,  20005-1401","Match","Non_Exact","1501 K ST NW, WASHINGTON, DC, 20001","-77.03474,38.90253","76225749","R"
